date,year,month,day,weekday,is_weekend,barrio,lat,lon,population_factor,tourism_factor,infrastructure_age,coastal,season_index,temperature_c,rainfall_mm,consumption_m3_day,flow_m3h,pressure_bar,risk_score,breakdown_probability,breakdown_event,pressure_alert,flow_alert,anomaly_alert,total_alerts,risk_level
2022-01-21,2022,1,21,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,14.256,56.225,533.698,21.137,3.684,0.4439,0.1129,0,0,0,0,0,medio
2022-01-22,2022,1,22,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,10.638,24.491,547.332,24.021,3.955,0.4324,0.0748,0,0,0,0,0,medio
2022-01-23,2022,1,23,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,8.749,25.623,550.213,24.952,3.951,0.4927,0.0762,0,0,0,0,0,medio
2022-01-24,2022,1,24,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,9.484,21.314,498.09,22.962,3.85,0.4787,0.071,0,0,0,0,0,medio
2022-01-25,2022,1,25,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,12.659,33.465,515.856,21.45,3.866,0.4538,0.0856,1,0,0,0,1,medio
2022-01-26,2022,1,26,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,9.423,18.499,526.142,23.653,3.961,0.4332,0.0694,0,0,0,0,0,medio
2022-01-27,2022,1,27,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,13.22,31.974,507.91,22.334,3.998,0.5114,0.0838,0,0,0,0,0,medio
2022-01-28,2022,1,28,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,9.424,17.687,572.333,25.902,3.908,0.4276,0.0694,0,0,0,0,0,medio
2022-01-29,2022,1,29,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,9.601,21.947,573.301,23.416,3.929,0.4301,0.0718,1,0,0,0,1,medio
2022-01-30,2022,1,30,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,13.372,30.815,573.322,21.44,3.924,0.3893,0.0824,0,0,0,0,0,bajo
2022-01-31,2022,1,31,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,72,9.944,26.993,549.367,21.372,3.94,0.4071,0.0778,0,0,0,0,0,medio
2022-02-01,2022,2,1,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,16.321,33.235,572.983,23.69,3.846,0.428,0.0853,0,0,0,0,0,medio
2022-02-02,2022,2,2,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.082,18.633,533.3,22.474,4.242,0.5289,0.0694,0,0,0,0,0,medio
2022-02-03,2022,2,3,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,14.386,15.221,511.621,21.654,4.09,0.3958,0.0694,0,0,0,0,0,bajo
2022-02-04,2022,2,4,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,11.596,26.928,496.609,20.144,3.844,0.4224,0.0777,0,0,0,0,0,medio
2022-02-05,2022,2,5,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,12.616,47.556,518.815,20.432,4.164,0.5733,0.1048,1,0,0,0,1,medio
2022-02-06,2022,2,6,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,14.264,31.466,620.563,24.581,3.888,0.4811,0.0832,0,0,0,0,0,medio
2022-02-07,2022,2,7,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,14.253,27.188,486.664,20.036,3.92,0.4383,0.0781,1,0,0,0,1,medio
2022-02-08,2022,2,8,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.524,37.507,535.367,22.699,3.946,0.4358,0.0904,0,0,0,0,0,medio
2022-02-09,2022,2,9,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.292,27.517,597.036,26.833,3.97,0.4118,0.0784,0,0,0,0,0,medio
2022-02-10,2022,2,10,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.209,18.381,568.329,23.991,3.989,0.353,0.0694,0,0,0,0,0,bajo
2022-02-11,2022,2,11,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.498,18.398,515.414,21.759,3.951,0.418,0.0694,0,0,0,0,0,medio
2022-02-12,2022,2,12,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,14.439,29.765,611.886,22.223,3.891,0.443,0.0811,0,0,0,0,0,medio
2022-02-13,2022,2,13,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,14.259,12.582,573.311,25.951,3.746,0.4902,0.0694,0,0,0,0,0,medio
2022-02-14,2022,2,14,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,14.725,18.916,519.776,23.065,4.013,0.5237,0.0694,0,0,0,0,0,medio
2022-02-15,2022,2,15,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.475,44.088,544.392,23.622,3.902,0.4423,0.0983,0,0,0,0,0,medio
2022-02-16,2022,2,16,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,16.301,17.788,555.319,22.918,4.075,0.4741,0.0694,0,0,0,0,0,medio
2022-02-17,2022,2,17,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.913,14.244,528.29,20.722,3.879,0.5046,0.0694,0,0,0,0,0,medio
2022-02-18,2022,2,18,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,13.768,19.269,531.464,20.797,3.86,0.4449,0.0694,0,0,0,0,0,medio
2022-02-19,2022,2,19,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.73,7.771,572.513,23.941,3.98,0.5209,0.0694,0,0,0,0,0,medio
2022-02-20,2022,2,20,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,13.93,33.71,508.891,22.769,3.99,0.4784,0.0859,0,0,0,0,0,medio
2022-02-21,2022,2,21,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,16.037,38.009,537.832,22.672,3.971,0.3926,0.091,0,0,0,0,0,bajo
2022-02-22,2022,2,22,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,14.588,31.843,562.24,22.187,3.918,0.5081,0.0836,0,0,0,0,0,medio
2022-02-23,2022,2,23,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,13.583,30.213,557.293,23.234,4.093,0.4805,0.0817,0,0,0,0,0,medio
2022-02-24,2022,2,24,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.648,49.341,523.891,19.642,4.135,0.4025,0.1046,1,0,0,0,1,medio
2022-02-25,2022,2,25,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,16.781,13.972,490.587,18.805,3.856,0.4445,0.0694,0,0,0,0,0,medio
2022-02-26,2022,2,26,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.231,15.677,484.315,20.235,3.896,0.4503,0.0694,0,0,0,0,0,medio
2022-02-27,2022,2,27,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,15.024,35.234,569.978,24.379,3.846,0.4326,0.0877,0,0,0,0,0,medio
2022-02-28,2022,2,28,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,75,16.048,24.849,547.007,22.489,3.922,0.4766,0.0752,0,0,0,0,0,medio
2022-03-01,2022,3,1,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,17.013,10.66,435.761,17.541,4.055,0.4039,0.0694,0,0,0,0,0,medio
2022-03-02,2022,3,2,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,20.591,35.949,504.607,22.448,3.958,0.3931,0.0886,0,0,0,0,0,bajo
2022-03-03,2022,3,3,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,16.737,16.007,495.824,21.489,4.156,0.3626,0.0694,1,0,0,0,1,bajo
2022-03-04,2022,3,4,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,17.397,28.272,502.724,19.029,4.059,0.393,0.0794,0,0,0,0,0,bajo
2022-03-05,2022,3,5,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,17.353,18.111,550.901,22.737,3.975,0.4541,0.0694,0,0,0,0,0,medio
2022-03-06,2022,3,6,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,18.443,10.708,571.505,23.418,4.064,0.4575,0.0694,0,0,0,0,0,medio
2022-03-07,2022,3,7,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.481,41.559,569.854,23.826,3.95,0.4935,0.0953,0,0,0,0,0,medio
2022-03-08,2022,3,8,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.457,23.767,516.253,20.614,3.754,0.325,0.0739,0,0,0,0,0,bajo
2022-03-09,2022,3,9,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,18.269,21.361,565.606,24.87,3.816,0.4607,0.0711,0,0,0,0,0,medio
2022-03-10,2022,3,10,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,18.531,25.668,525.533,21.526,4.07,0.3747,0.0762,0,0,0,0,0,bajo
2022-03-11,2022,3,11,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,22.854,26.008,550.282,23.033,4.005,0.4341,0.0766,0,0,0,0,0,medio
2022-03-12,2022,3,12,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,17.788,27.873,509.669,21.943,4.076,0.4516,0.0789,0,0,0,0,0,medio
2022-03-13,2022,3,13,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.638,21.222,567.261,21.472,3.891,0.3321,0.0709,0,0,0,0,0,bajo
2022-03-14,2022,3,14,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,21.003,32.057,484.835,18.684,3.597,0.3949,0.0839,0,0,0,0,0,bajo
2022-03-15,2022,3,15,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.61,18.964,520.849,20.008,3.908,0.4316,0.0694,1,0,0,0,1,medio
2022-03-16,2022,3,16,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,20.144,27.102,527.028,21.204,4.049,0.5121,0.078,0,0,0,0,0,medio
2022-03-17,2022,3,17,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,17.626,36.022,500.892,22.335,3.895,0.5073,0.0887,0,0,0,0,0,medio
2022-03-18,2022,3,18,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.345,38.082,495.71,19.683,3.896,0.4481,0.0911,0,0,0,0,0,medio
2022-03-19,2022,3,19,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.914,19.151,574.102,21.057,3.835,0.3459,0.0694,0,0,0,0,0,bajo
2022-03-20,2022,3,20,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.329,22.387,528.946,21.864,3.966,0.3825,0.0723,0,0,0,0,0,bajo
2022-03-21,2022,3,21,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.952,27.465,523.629,22.141,4.187,0.4296,0.0784,0,0,0,0,0,medio
2022-03-22,2022,3,22,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,17.827,14.71,468.874,18.668,3.948,0.4387,0.0694,0,0,0,0,0,medio
2022-03-23,2022,3,23,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,17.809,32.102,529.189,21.874,3.863,0.4604,0.084,0,0,0,0,0,medio
2022-03-24,2022,3,24,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,16.785,23.388,514.676,20.48,3.968,0.3555,0.0735,0,0,0,0,0,bajo
2022-03-25,2022,3,25,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,20.829,21.727,517.759,18.974,3.805,0.4084,0.0715,0,0,0,0,0,medio
2022-03-26,2022,3,26,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,20.029,41.976,499.193,19.929,3.977,0.5069,0.0958,0,0,0,0,0,medio
2022-03-27,2022,3,27,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.331,40.392,483.881,18.87,3.902,0.3967,0.0939,0,0,0,0,0,bajo
2022-03-28,2022,3,28,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.32,8.025,522.379,21.137,4.096,0.3991,0.0694,0,0,0,0,0,bajo
2022-03-29,2022,3,29,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,19.769,30.866,520.332,19.853,4.008,0.3744,0.0825,0,0,0,0,0,bajo
2022-03-30,2022,3,30,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,16.822,28.017,482.186,18.803,4.039,0.4345,0.079,0,0,0,0,0,medio
2022-03-31,2022,3,31,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,82,21.134,20.034,507.685,21.438,3.872,0.4551,0.0695,0,0,0,0,0,medio
2022-04-01,2022,4,1,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,21.956,30.264,463.941,16.999,4.151,0.5437,0.0817,0,0,0,0,0,medio
2022-04-02,2022,4,2,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,19.668,15.206,515.518,21.276,3.811,0.4599,0.0694,0,0,0,0,0,medio
2022-04-03,2022,4,3,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,20.332,24.293,589.127,24.758,3.885,0.4358,0.0746,0,0,0,0,0,medio
2022-04-04,2022,4,4,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,19.978,19.48,483.243,21.995,3.932,0.5168,0.0694,1,0,0,0,1,medio
2022-04-05,2022,4,5,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,23.455,20.875,469.034,19.716,4.102,0.4094,0.0705,0,0,0,0,0,medio
2022-04-06,2022,4,6,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,22.547,9.878,484.672,20.112,3.748,0.3462,0.0694,0,0,0,0,0,bajo
2022-04-07,2022,4,7,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,21.79,0.0,518.138,21.883,3.858,0.3672,0.0694,0,0,0,0,0,bajo
2022-04-08,2022,4,8,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,23.098,39.443,507.311,21.548,3.927,0.4727,0.0928,0,0,0,0,0,medio
2022-04-09,2022,4,9,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,24.451,13.308,510.823,20.774,4.041,0.5041,0.0694,0,0,0,0,0,medio
2022-04-10,2022,4,10,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,21.936,20.827,516.791,22.558,3.674,0.394,0.0704,1,0,0,0,1,bajo
2022-04-11,2022,4,11,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,19.093,9.327,467.665,19.29,4.09,0.4119,0.0694,0,0,0,0,0,medio
2022-04-12,2022,4,12,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,22.488,27.443,465.859,18.527,4.024,0.4104,0.0784,0,0,0,0,0,medio
2022-04-13,2022,4,13,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,22.553,24.315,464.104,19.326,3.933,0.3635,0.0746,0,0,0,0,0,bajo
2022-04-14,2022,4,14,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,23.602,14.841,464.484,19.26,4.093,0.31,0.0694,0,0,0,0,0,bajo
2022-04-15,2022,4,15,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,21.189,31.151,503.226,21.772,3.811,0.3767,0.0828,0,0,0,0,0,bajo
2022-04-16,2022,4,16,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,22.661,22.939,518.62,21.91,3.963,0.472,0.073,1,0,0,0,1,medio
2022-04-17,2022,4,17,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,20.144,0.0,556.052,24.545,3.812,0.3492,0.0694,1,0,0,0,1,bajo
2022-04-18,2022,4,18,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,23.97,34.178,510.165,20.862,3.839,0.4301,0.0864,0,0,0,0,0,medio
2022-04-19,2022,4,19,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,21.051,36.439,547.838,24.123,3.826,0.4835,0.0892,0,0,0,0,0,medio
2022-04-20,2022,4,20,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,23.237,29.247,513.7,22.196,4.021,0.4511,0.0805,0,0,0,0,0,medio
2022-04-21,2022,4,21,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,22.699,12.994,456.837,20.636,4.167,0.4967,0.0694,0,0,0,0,0,medio
2022-04-22,2022,4,22,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,24.6,18.108,500.857,19.728,3.996,0.4287,0.0694,0,0,0,0,0,medio
2022-04-23,2022,4,23,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,22.497,17.282,581.098,25.295,3.929,0.4572,0.0694,0,0,0,0,0,medio
2022-04-24,2022,4,24,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,22.269,8.258,519.772,20.849,3.793,0.455,0.0694,0,0,0,0,0,medio
2022-04-25,2022,4,25,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,19.894,16.896,524.398,23.007,4.065,0.4388,0.0694,0,0,0,0,0,medio
2022-04-26,2022,4,26,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,20.948,21.101,506.097,22.445,4.079,0.4283,0.0708,0,0,0,0,0,medio
2022-04-27,2022,4,27,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,22.095,19.955,488.836,19.78,3.982,0.4006,0.0694,0,0,0,0,0,medio
2022-04-28,2022,4,28,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,23.041,14.382,502.083,21.206,3.811,0.4066,0.0694,0,0,0,0,0,medio
2022-04-29,2022,4,29,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,20.831,0.0,439.557,18.342,3.968,0.415,0.0694,0,0,0,0,0,medio
2022-04-30,2022,4,30,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,90,18.564,21.563,573.667,22.555,3.884,0.3977,0.0713,0,0,0,0,0,bajo
2022-05-01,2022,5,1,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.207,24.847,754.222,30.898,4.112,0.4657,0.0752,0,0,0,0,0,medio
2022-05-02,2022,5,2,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.556,13.18,654.932,31.626,4.011,0.4311,0.0694,0,0,0,0,0,medio
2022-05-03,2022,5,3,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.154,7.592,675.816,28.203,3.937,0.4554,0.0694,0,0,0,0,0,medio
2022-05-04,2022,5,4,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,25.334,0.0,666.51,26.408,3.733,0.4456,0.0694,0,0,0,0,0,medio
2022-05-05,2022,5,5,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,23.656,19.479,589.268,24.053,3.855,0.4381,0.0694,1,0,0,0,1,medio
2022-05-06,2022,5,6,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,23.185,18.519,643.301,24.269,3.677,0.4406,0.0694,0,0,0,0,0,medio
2022-05-07,2022,5,7,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.541,11.748,688.525,30.048,3.767,0.4024,0.0694,0,0,0,0,0,medio
2022-05-08,2022,5,8,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,25.13,23.205,661.749,24.124,3.702,0.3991,0.0733,0,0,0,0,0,bajo
2022-05-09,2022,5,9,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.084,12.347,628.891,27.579,3.834,0.4094,0.0694,0,0,0,0,0,medio
2022-05-10,2022,5,10,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,22.393,15.507,644.822,26.669,4.102,0.4183,0.0694,0,0,0,0,0,medio
2022-05-11,2022,5,11,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.358,0.507,643.567,25.372,3.821,0.4648,0.0694,0,0,0,0,0,medio
2022-05-12,2022,5,12,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,23.763,20.887,685.387,30.609,3.964,0.5311,0.0705,0,0,0,0,0,medio
2022-05-13,2022,5,13,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.219,4.197,645.463,26.126,3.891,0.5417,0.0694,0,0,0,0,0,medio
2022-05-14,2022,5,14,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,25.317,9.91,682.417,28.443,3.955,0.5138,0.0694,0,0,0,0,0,medio
2022-05-15,2022,5,15,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,25.161,17.306,632.422,26.235,4.027,0.4912,0.0694,0,0,0,0,0,medio
2022-05-16,2022,5,16,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,26.026,16.417,687.033,29.041,3.858,0.4744,0.0694,0,0,0,0,0,medio
2022-05-17,2022,5,17,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,25.271,0.0,574.606,24.483,3.987,0.3838,0.0694,1,0,0,0,1,bajo
2022-05-18,2022,5,18,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,26.752,7.644,727.124,30.294,3.939,0.5427,0.0694,0,0,0,0,0,medio
2022-05-19,2022,5,19,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,23.193,11.012,639.509,24.828,3.882,0.406,0.0694,0,0,0,0,0,medio
2022-05-20,2022,5,20,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.748,9.455,636.795,26.829,3.987,0.4,0.0694,0,0,0,0,0,bajo
2022-05-21,2022,5,21,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,26.353,8.289,621.581,26.474,3.973,0.3722,0.0694,0,0,0,0,0,bajo
2022-05-22,2022,5,22,6,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,25.8,15.369,705.09,27.316,3.936,0.4365,0.0694,0,0,0,0,0,medio
2022-05-23,2022,5,23,0,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,26.002,25.313,709.876,31.523,3.881,0.4837,0.0758,0,0,0,0,0,medio
2022-05-24,2022,5,24,1,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.878,13.177,672.554,27.94,3.817,0.4331,0.0694,0,0,0,0,0,medio
2022-05-25,2022,5,25,2,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.701,15.062,666.644,27.256,3.996,0.4704,0.0694,0,0,0,0,0,medio
2022-05-26,2022,5,26,3,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,26.86,7.493,577.235,22.795,3.806,0.4388,0.0694,0,0,0,0,0,medio
2022-05-27,2022,5,27,4,0,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.191,17.577,653.947,27.678,3.958,0.4837,0.0694,0,0,0,0,0,medio
2022-05-28,2022,5,28,5,1,CENTRO,38.3453,-0.4831,1.1,0.55,52,0,105,24.15,0.0,680.801,28.36,4.028,0.5146,0.0694,0,0,0,0,0,medio
